SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
IDEA,IDEA,9.93,523201791,2026-01-25,10:17:31
CIPLA,CIPLA,1315.0,6590032,2026-01-25,10:17:31
GAIL,GAIL,160.81,8178368,2026-01-25,10:17:31
IDBI,IDBI,97.42,10502667,2026-01-25,10:17:31
HDFCAMC,HDFCAMC,2429.7,417907,2026-01-25,10:17:31
BOSCHLTD,BOSCHLTD,35265.0,26686,2026-01-25,10:17:31
GROWW,GROWW,167.51,48985788,2026-01-25,10:17:31
SIEMENS,SIEMENS,2900.4,281797,2026-01-25,10:17:31
DRREDDY,DRREDDY,1235.6,3888860,2026-01-25,10:17:31
POLYCAB,POLYCAB,6722.0,368113,2026-01-25,10:17:31
ABB,ABB,4694.5,114255,2026-01-25,10:17:31
ADANIENSOL,ADANIENSOL,812.7,7623697,2026-01-25,10:17:31
APOLLOHOSP,APOLLOHOSP,6803.0,458099,2026-01-25,10:17:31
LUPIN,LUPIN,2137.2,578417,2026-01-25,10:17:31
SHREECEM,SHREECEM,27000.0,24439,2026-01-25,10:17:31
PERSISTENT,PERSISTENT,6155.0,499112,2026-01-25,10:17:31
UNITDSPR,UNITDSPR,1333.0,1398884,2026-01-25,10:17:31
MAXHEALTH,MAXHEALTH,991.4,2300849,2026-01-25,10:17:31
GMRAIRPORT,GMRAIRPORT,91.21,9986400,2026-01-25,10:17:31
MARICO,MARICO,740.95,1755248,2026-01-25,10:17:31
RECLTD,RECLTD,361.35,9232847,2026-01-25,10:17:31
LGEINDIA,LGEINDIA,1399.9,778477,2026-01-25,10:17:31
MAZDOCK,MAZDOCK,2301.8,788229,2026-01-25,10:17:31
ICICIPRULI,ICICIPRULI,638.7,744889,2026-01-25,10:17:31
DABUR,DABUR,519.0,2352107,2026-01-25,10:17:31
INDHOTEL,INDHOTEL,645.8,4263487,2026-01-25,10:17:31
ABCAPITAL,ABCAPITAL,347.45,3892734,2026-01-25,10:17:31
LODHA,LODHA,900.3,3143100,2026-01-25,10:17:31
ICICIGI,ICICIGI,1795.7,1249414,2026-01-25,10:17:31
ZYDUSLIFE,ZYDUSLIFE,882.0,460331,2026-01-25,10:17:31
HINDPETRO,HINDPETRO,414.85,6140298,2026-01-25,10:17:31
MANKIND,MANKIND,2107.6,406709,2026-01-25,10:17:31
CGPOWER,CGPOWER,549.1,3868313,2026-01-25,10:17:31
SWIGGY,SWIGGY,311.75,17199531,2026-01-25,10:17:31
BHEL,BHEL,242.5,6847147,2026-01-25,10:17:31
NAUKRI,NAUKRI,1300.9,458295,2026-01-25,10:17:31
JSWENERGY,JSWENERGY,477.65,1759170,2026-01-25,10:17:31
BHARTIHEXA,BHARTIHEXA,1615.2,81756,2026-01-25,10:17:31
HAVELLS,HAVELLS,1287.0,783770,2026-01-25,10:17:31
SRF,SRF,2713.7,406215,2026-01-25,10:17:31
POLICYBZR,POLICYBZR,1673.9,1452236,2026-01-25,10:17:31
MEESHO,MEESHO,170.31,4145536,2026-01-25,10:17:31
NTPCGREEN,NTPCGREEN,90.3,2394675,2026-01-25,10:17:31
NHPC,NHPC,75.25,11193218,2026-01-25,10:17:31
ENRIN,ENRIN,2125.4,771845,2026-01-25,10:17:31
WAAREEENER,WAAREEENER,2599.3,2473302,2026-01-25,10:17:31
BAJAJHFL,BAJAJHFL,88.35,4582708,2026-01-25,10:17:31
LENSKART,LENSKART,423.95,921841,2026-01-25,10:17:31
POWERINDIA,POWERINDIA,16501.0,110388,2026-01-25,10:17:31
SBICARD,SBICARD,770.55,727529,2026-01-25,10:17:31
PAYTM,PAYTM,1138.8,19357013,2026-01-25,10:17:31
BANKINDIA,BANKINDIA,159.65,15396336,2026-01-25,10:17:31
AUBANK,AUBANK,966.1,2752861,2026-01-25,10:17:31
LTF,LTF,288.0,6502459,2026-01-25,10:17:31
IDFCFIRSTB,IDFCFIRSTB,82.99,30120355,2026-01-25,10:17:31
OIL,OIL,435.7,1888918,2026-01-25,10:17:31
INDUSINDBK,INDUSINDBK,892.45,5907525,2026-01-25,10:17:31
GVT&D,GVT&D,2712.7,964232,2026-01-25,10:17:31
OFSS,OFSS,7956.0,174884,2026-01-25,10:17:31
ALKEM,ALKEM,5750.5,77302,2026-01-25,10:17:31
NATIONALUM,NATIONALUM,370.65,22954119,2026-01-25,10:17:31
FEDERALBNK,FEDERALBNK,278.55,12120387,2026-01-25,10:17:31
RVNL,RVNL,325.15,6752882,2026-01-25,10:17:31
BHARATFORG,BHARATFORG,1408.8,650137,2026-01-25,10:17:31
NMDC,NMDC,76.36,19489454,2026-01-25,10:17:31
NYKAA,NYKAA,234.7,7359262,2026-01-25,10:17:31
COROMANDEL,COROMANDEL,2247.9,352674,2026-01-25,10:17:31
AUROPHARMA,AUROPHARMA,1132.5,511867,2026-01-25,10:17:31
YESBANK,YESBANK,20.92,120490912,2026-01-25,10:17:31
IOB,IOB,34.09,4556896,2026-01-25,10:17:31
UNOMINDA,UNOMINDA,1134.1,1006084,2026-01-25,10:17:31
GICRE,GICRE,370.6,559088,2026-01-25,10:17:31
TORNTPOWER,TORNTPOWER,1270.7,165716,2026-01-25,10:17:31
FORTIS,FORTIS,844.0,2332499,2026-01-25,10:17:31
DIXON,DIXON,10360.0,486607,2026-01-25,10:17:31
SUZLON,SUZLON,45.7,49252985,2026-01-25,10:17:31
PHOENIXLTD,PHOENIXLTD,1726.5,843377,2026-01-25,10:17:31
SAIL,SAIL,149.03,35863744,2026-01-25,10:17:31
JSL,JSL,745.95,378056,2026-01-25,10:17:31
PRESTIGE,PRESTIGE,1388.8,1453722,2026-01-25,10:17:31
UPL,UPL,702.55,3808963,2026-01-25,10:17:31
ABBOTINDIA,ABBOTINDIA,27780.0,3524,2026-01-25,10:17:31
COLPAL,COLPAL,2166.3,342718,2026-01-25,10:17:31
LLOYDSME,LLOYDSME,1115.5,277168,2026-01-25,10:17:31
BERGEPAINT,BERGEPAINT,504.5,236401,2026-01-25,10:17:31
MRF,MRF,137475.0,7285,2026-01-25,10:17:31
MCX,MCX,2282.0,2959911,2026-01-25,10:17:31
VMM,VMM,124.58,5464470,2026-01-25,10:17:31
HDBFS,HDBFS,695.4,1115707,2026-01-25,10:17:31
ATGL,ATGL,517.45,2182806,2026-01-25,10:17:31
SCHAEFFLER,SCHAEFFLER,3616.4,56939,2026-01-25,10:17:31
